timestamp,model,scale,seed,config,psnr,ssim,lpips,score,mae,rmse,error_std,epochs,lr,loss
2026-05-01 14:51:46,siren,16,0,"first_omega_0=80.0, hidden_omega_0=30.0",22.9063,0.5148,0.6859,24.6247,0.0482,0.0716,0.0502,100,0.0001,mse
2026-05-01 14:54:36,siren,16,1,"first_omega_0=80.0, hidden_omega_0=30.0",22.8950,0.5131,0.6883,24.5843,0.0484,0.0717,0.0502,100,0.0001,mse
2026-05-01 14:57:13,siren,16,2,"first_omega_0=80.0, hidden_omega_0=30.0",22.9030,0.5148,0.6867,24.6172,0.0483,0.0716,0.0502,100,0.0001,mse
2026-05-01 14:59:48,siren,16,3,"first_omega_0=80.0, hidden_omega_0=30.0",22.9063,0.5149,0.6885,24.6128,0.0483,0.0716,0.0502,100,0.0001,mse
2026-05-01 15:02:32,siren,16,4,"first_omega_0=80.0, hidden_omega_0=30.0",22.9086,0.5146,0.6869,24.6200,0.0482,0.0715,0.0502,100,0.0001,mse
2026-05-01 15:05:13,siren,16,5,"first_omega_0=80.0, hidden_omega_0=30.0",22.9098,0.5158,0.6856,24.6395,0.0482,0.0715,0.0502,100,0.0001,mse
2026-05-01 15:07:50,siren,16,6,"first_omega_0=80.0, hidden_omega_0=30.0",22.9046,0.5148,0.6868,24.6190,0.0483,0.0716,0.0502,100,0.0001,mse
2026-05-01 15:10:23,siren,16,7,"first_omega_0=80.0, hidden_omega_0=30.0",22.8973,0.5134,0.6876,24.5934,0.0484,0.0716,0.0501,100,0.0001,mse
2026-05-01 15:12:55,siren,16,8,"first_omega_0=80.0, hidden_omega_0=30.0",22.9046,0.5146,0.6859,24.6209,0.0483,0.0716,0.0502,100,0.0001,mse
2026-05-01 15:15:35,siren,16,9,"first_omega_0=80.0, hidden_omega_0=30.0",22.8963,0.5138,0.6856,24.6065,0.0483,0.0716,0.0502,100,0.0001,mse
2026-04-27 00:45:12,fr,2,0,F=64,24.7801,0.5721,0.5941,27.5306,0.0363,0.0577,0.0426,100,0.0001,mse
2026-04-27 01:24:09,fr,2,1,F=64,24.6626,0.5668,0.6002,27.3301,0.0369,0.0585,0.0431,100,0.0001,mse
2026-04-27 02:05:04,fr,2,2,F=64,24.7722,0.5725,0.5943,27.5251,0.0363,0.0577,0.0427,100,0.0001,mse
2026-04-27 03:21:16,fr,2,3,F=64,24.7359,0.5698,0.5974,27.4471,0.0365,0.0580,0.0428,100,0.0001,mse
2026-04-27 04:45:50,fr,2,4,F=64,24.7653,0.5717,0.5923,27.5206,0.0364,0.0578,0.0427,100,0.0001,mse
2026-04-27 05:44:50,fr,2,5,F=64,24.7848,0.5729,0.5916,27.5555,0.0363,0.0576,0.0426,100,0.0001,mse
2026-04-27 06:27:24,fr,2,6,F=64,24.6674,0.5680,0.5950,27.3731,0.0368,0.0584,0.0431,100,0.0001,mse
2026-04-27 07:08:11,fr,2,7,F=64,24.7185,0.5694,0.5988,27.4181,0.0366,0.0581,0.0429,100,0.0001,mse
2026-04-27 07:47:08,fr,2,8,F=64,24.7963,0.5730,0.5936,27.5585,0.0362,0.0576,0.0425,100,0.0001,mse
2026-04-27 08:26:11,fr,2,9,F=64,24.7986,0.5730,0.5934,27.5613,0.0362,0.0576,0.0425,100,0.0001,mse
2026-04-28 02:37:16,fr,4,0,F=64,24.1368,0.5428,0.6513,26.3082,0.0400,0.0621,0.0452,100,0.0001,mse
2026-04-28 02:48:31,fr,4,1,F=64,24.0842,0.5414,0.6537,26.2301,0.0402,0.0625,0.0454,100,0.0001,mse
2026-04-28 03:00:33,fr,4,2,F=64,24.1702,0.5448,0.6473,26.3816,0.0397,0.0619,0.0450,100,0.0001,mse
2026-04-28 03:12:16,fr,4,3,F=64,24.1782,0.5444,0.6474,26.3856,0.0397,0.0618,0.0450,100,0.0001,mse
2026-04-28 03:24:32,fr,4,4,F=64,24.1594,0.5439,0.6492,26.3523,0.0398,0.0619,0.0451,100,0.0001,mse
2026-04-28 03:36:31,fr,4,5,F=64,24.2177,0.5462,0.6440,26.4595,0.0395,0.0615,0.0448,100,0.0001,mse
2026-04-28 03:48:19,fr,4,6,F=64,24.1225,0.5436,0.6458,26.3292,0.0400,0.0622,0.0452,100,0.0001,mse
2026-04-28 04:00:50,fr,4,7,F=64,24.1358,0.5431,0.6505,26.3149,0.0400,0.0621,0.0451,100,0.0001,mse
2026-04-28 04:12:25,fr,4,8,F=64,24.1985,0.5450,0.6483,26.4064,0.0396,0.0617,0.0448,100,0.0001,mse
2026-04-28 04:23:25,fr,4,9,F=64,24.2014,0.5450,0.6488,26.4075,0.0396,0.0616,0.0448,100,0.0001,mse
2026-05-01 14:13:38,fr,8,0,F=64,23.0090,0.5114,0.6893,24.6771,0.0475,0.0707,0.0495,100,0.0001,mse
2026-05-01 14:17:51,fr,8,1,F=64,23.0101,0.5129,0.6857,24.7111,0.0475,0.0707,0.0495,100,0.0001,mse
2026-05-01 14:21:45,fr,8,2,F=64,23.0525,0.5136,0.6869,24.7543,0.0470,0.0704,0.0494,100,0.0001,mse
2026-05-01 14:25:47,fr,8,3,F=64,23.1004,0.5150,0.6862,24.8197,0.0467,0.0700,0.0493,100,0.0001,mse
2026-05-01 14:29:44,fr,8,4,F=64,23.0088,0.5129,0.6903,24.6865,0.0475,0.0707,0.0495,100,0.0001,mse
2026-05-01 14:33:42,fr,8,5,F=64,23.1753,0.5159,0.6914,24.8775,0.0464,0.0694,0.0487,100,0.0001,mse
2026-05-01 14:37:44,fr,8,6,F=64,23.0747,0.5149,0.6882,24.7822,0.0470,0.0702,0.0492,100,0.0001,mse
2026-05-01 14:41:41,fr,8,7,F=64,23.0252,0.5136,0.6894,24.7148,0.0473,0.0706,0.0495,100,0.0001,mse
2026-05-01 14:45:31,fr,8,8,F=64,23.1054,0.5141,0.6904,24.7941,0.0468,0.0699,0.0491,100,0.0001,mse
2026-05-01 14:49:30,fr,8,9,F=64,23.1214,0.5151,0.6905,24.8203,0.0466,0.0698,0.0491,100,0.0001,mse
2026-05-01 15:18:14,fr,16,0,F=64,21.3854,0.4792,0.6941,22.7072,0.0611,0.0853,0.0550,100,0.0001,mse
2026-05-01 15:20:42,fr,16,1,F=64,21.6826,0.4848,0.6948,23.0567,0.0586,0.0824,0.0537,100,0.0001,mse
2026-05-01 15:23:09,fr,16,2,F=64,21.5917,0.4872,0.6884,23.0213,0.0589,0.0833,0.0544,100,0.0001,mse
